review,sentiment
"mình vừa mới nhận hàng , mặc dù dịch nhưng mà giao hàng vẫn khá nhanh luôn á mụi người. ta nói cái chất của nó rất ư là mê lươi luôn á, xinh xuất sắc, tuyệt vời ông mặc trời, màu hồng này xinh xĩu up down luôn â. chủ shop cũng rất ư là nhiệt tình. gói hàng cũng xinh nữa, hết gõ được rồi buồn ghê",positive
"chất liệu:tamj màu sắc:trắng đúng với mô tả:giống mua để tặng nên quên không chụp anh, chất bình thường thôi, size áo to mọi người cân nhắc",neutral
"áo đúng như hình vải mềm mịn ok, giao nhanh đóng gói kĩ càng nv thân thiện",positive
"mình đặt mua hộ cho c gái, thấy c khen anh rể mặc đẹp, ưng ý. đã mua nhiều lần của shop và đều khá hài lòng.",positive
"Chất vải okie nhưng đường may có thể thợ hơi buồn ngủ, màu sắc đẹp mắt",positive
"chất liệu:dẹp màu sắc:trắng đúng với mô tả:đúng giao nhanh giao đúng sản phẩm đặt, đã mua nhiều lần sẽ ủng hộ shop lần tới",positive
"áo đẹp, tặng thêm quần rất đẹp. rất hài lòng về dịch vụ ..",positive
"hàng đợt này của colmate chất lượng đi xuống thấy rõ. cùng là size l như những lần khác nhưng áo nhỏ hơn và ngắn hơn trước. chất vải ko như lần trước, nóng và mình mặc chưa đến 4 ngày đã bị xù lông trước giờ tin tưởng mua colmate rất nhiều nhưng lần này thật sự rất thất vọng. giá thành càng ngày càng lên nhưng chất lượng lại đi xuống",negative
chất liệu:ok màu sắc:ok đúng với mô tả:ok hài lòng với chất lượng và giá cả. sẽ mua thêm. sẽ mua thêm màu khác,positive
áo ngon nha,positive
màu sắc:đẹp đúng với mô tả:giống với mô tả chất liệu:sp tốt so vơi giá thành sp đẹp. chất vãi thoáng mát. so với giá tiền thì tốt hơn mình tưởng. mang vừa khít. nói chung đẹp. sẽ ủng hộ shop tg tới !,positive
"mình mặc 2 lần rồi mới lên fb đây. áo giặt 1 lần, nay mặc lên thấy vải áo dễ mủn ở các đường chỉ. cân nhắc khi mua nhé mng",negative
màu sắc:trắng đen đúng với mô tả:ok chất liệu:tốt 1m65 52kg mặc thoải mái vừa vặn ………,positive
sản phẩm tuyệt vời giá cả hợp lý. áo đẹp lắm ạ mặc rất mát mọi người nên mua nhé,positive
"áo dày, chuẩn size, có chỉ thừa, mặc lên đẹp hàng giao nhanh, chất lượng được.",positive
áo đẹp lắm ạ.màu ở ngoài đẹp hơn trong ảnh nhiều .sịn xò từ cái mác đến cái túi gói hàng luôn,positive
"màu sắc:màu nâu cafe chất liệu:vải cotton đúng với mô tả:chuẩn mặc đẹp nha , nma hơi nóng 1 xíu . m mặc thấy vừa size nha .",positive
"giao hàng khá nhanh. áo co giãn tốt, màu sắc đẹp. form slim nên mình tăng 1 size, mặc dễ chịu.",positive
màu sắc:đen đúng với mô tả:hoàn toàn đúng với mô tả áo đẹp lắm mọi người ạ. shop đóng gói hàng rất cẩn thận. chất lượng hông có gì để mà phàn nàn nên mua nha mọi người ơi. xứng đáng đồng tiền bỏ ra  sẽ tiếp tục ủng hộ shop trong những lần tiếp theo!,positive
vải ko đc tốt:(((,negative
"lần t2 mua của shop, chất lượng vẫn luôn tốt,áo đúng sz đúng màu ,mua đúng dịp sale nên đã rẻ lại còn rẻ hơn,sẽ ủng hộ tiếp nha sh",positive
"chất lượng phù hợp với giá tiền ,giá cả hợp lý đóng gói hàng chắc chắn",positive
màu sắc:đen đúng với mô tả:vải hơi mỏng nhưng rẻ hợp với giá tiền tôi hài ko sản phẩm này,negative
"chất liệu:bt đúng với mô tả:ko đúng lắm màu sắc:bt áo khá đẹp phom áo cũng ok, nhưng hơi sai sai tí,gói hàng cân thận,nói chung cũng đc",positive
Chất liệu:vải mềm mát Đúng với mô tả:đúng Màu sắc:kem Không có điểm nào để chê Local này bán đồ xinh quá tr Mình m50 size L bị rộng lắm Mọi người đặt M thôi nha 10 điểm cho shoppppp,positive
"giao hàng nhanh, gói hàng đẹp lại còn được quà nữa, chất liệu phù hợp với giá tiền",positive
chất liệu:vải màu sắc:xanh đúng với mô tả:đúng mình tưởng áo màu xanh rêu nhưng mà không phải màu này sáng hơn vải mặc mát,positive
"Chất liệu:cotton Màu sắc:be Áo đẹp xỉu. Chất xịn nha, với giá mua được là 120k thì ko còn gì phải bàn nữa gòi. Chắc chắn mình sẽ quay lại",positive
chất liệu:coton màu sắc:xanh aqua đúng với mô tả:đúng 100% đã nhận được hàng. áo mua biếu bố mặc rất đẹp và vừa chất vải mềm mịn mát fom áo chuẩn. sẽ còn mua tiếp,positive
áo rách nt thì shop cứ hỏi không phải màu này màu kia,negative
"vải rất ok luôn nha, thun mát. mình săn sale nên giá rất hời luôn",positive
chất liệu:cotton màu sắc:đúng đúng với mô tả:áo rẻ đẹp phù hopej với tầm giá bố mình 1m55 43kg mặc size s vừa người đẹp lắm nha săn sale đc giá 78k ship nữa tổng 100k bố khá ưng nha tuyệt vời ship cũng khá nhanh đóng gói ổn k bị mất form,positive
"đúng với mô tả:mặc mát, thoải mái chất liệu:k chắc lắm màu sắc:xanh dương chất vải mềm mịn, mặc mát, thấm hút tốt, mua lúc săn sale nên giá cả phải chăng. nói chung là ok nha",positive
chất liệu:mổng xíu màu sắc:nâu đúng với mô tả:đúng nhưng ko thích chữ màu vàng cũng đẹp,neutral
"chất liệu:vải hơi mỏng màu sắc:đen đúng với mô tả:đúng áo đẹp, hình in mịn nhưng chất hơi mỏng nhưng với giá như vậy thì k đòi hỏi",positive
Đúng với mô tả:dung Áo nhận giá rẻ mà chất lượng tốt size chart ghi rõ nên mng chọn phù hợp với mình là okela Áo đứng form nhưng mà màu đen có mấy hạt bụi vải dính lên da rất nhiều giặt qua 2 nước rồi mà vẫn còn,positive
chất liệu:chất cotton su đúng với mô tả:chuẩn màu sắc:đen hình in của sản phẩm hơi bé sơ với hình,negative
"đóng gói đẹp, dịch nên giao hơi chậm. chất vải ok, mặc mát. mn nên mua nhé. ",positive
"chất liệu:ổn màu sắc:ổn oke hàng ổn. nhưng mình trừ 1 sao muốn góp ý shop là nên in kiểu khác vì in áo kiểu này thì không bền, mau hư. mình 75kg 1m62 nhưng xl thì hơi với mình thì phải",positive
đã mua của shop 1 lần rồi. nay quay lại mua tiếp. khâu phục vụ và chăm sóc khách hàng tốt nên mình thích,positive
"màu sắc:den và xanh đúng với mô tả:thanh niên chất liệu:thun mình mua đồ của colmatf là chủ yếu , chất lượng sản phẩm tốt",positive
size s bé hơn ng t,negative
"màu sắc:trangy áo mỏng lắm, hình in nhỏ .mặc lên trg kì cực nhma nch với tầm giá vậy là ổn lắm rồi",negative
màu sắc:trắng chất liệu:vải hơi dày,neutral
"sản phẩm tốt , chất lượng, chắn chắn, cầm êm tay, rất đáng mua.",positive
"Đúng với mô tả:đúng Màu sắc:kem Áo đẹp vải hơi mỏng, giao hàng nhanh, đóng gói cẩn thận, sẽ ủng hộ nữa.",positive
vải mỏng nhìn rất tốt. còn bền hay không thì xài mới biết. màu đẹp như hình. nhìn tươi sáng,positive
"hàng đẹp, chất mặc nhẹ, mát, giặt nhanh khô.",positive
"áo hình in xinh, vải cũng oke, shop đóng gói, giao hàng nhanh.",positive
"Màu sắc:màu be Đúng với mô tả:đúng với mô tả Chất liệu:chất vải dày dặn, thấm mồ hôi Giao hàng nhanh, chất vải đẹp so với giá tiền nhưng có vẻ hơi nóng …",positive
"áo xịn, mỏng mát rất dễ chịu, nhà mình đã mua rất nhiều áo này rồi, rất ưng",positive
chất liệu:tốt màu sắc:trắng đúng với mô tả:đẹp áo đẹp mặc thoáng mát dễ chịu. ủng hộ colmate dài dài,positive
Chất liệu:không biết Màu sắc:đen Đúng với mô tả:đúng áo đẹp lắm nha mọi người hình in sắc nét giá cả hợp lí nên mua nha mng,positive
"áo chất đẹp, thoáng mát, đóng gói cẩn thận tuy nhiên chờ đợi thời gian giao hàng lâu quáa",positive
"chất liệu:cotton màu sắc:trắng,xanh đen đúng với mô tả:đẹp vải đẹp và form đúng chuẩn..nên mua nha mọi người !",positive
"Màu sắc:be Giao hàng nhanh mới đặt hôm qua hôm nay đã nhận được hàng.Áo đẹp đúng ý của mình,do mình thích mặc rộng nên đặt size L nếu b nào thích mặc vừa kh rộng nên cân nhắc trước nha,vải kh mỏng,shop rất nhiệt tình,mọi người nên mua ủng hộ nè.Tôi sẽ quay lại mua hàng của shop nhiều lần nữa,mong shop ra nhiều mẫu mã đẹp hơn:3",positive
"áo rất đẹp, chất vải mát, shop phục vụ và tư vấn rất nhiệt tình ạ",positive
chất liệu:vải màu sắc:nhiều màu đúng với mô tả:ko biết nx:) áo hơi mỏng màu đẹp chuẩn form ( hình ảnh mang tc minh họa),positive
chất liệu:ổn,positive
đúng với mô tả:đúng chất liệu:khá ổn vừa với giá tiền màu sắc:đen,neutral
chất liệu:đẹp đẹp màu sắc:xanh đúng với mô tả:giống ảnh giao hàng nhanh shop đóng gói cẩn thậnd,positive
áo vải dầy chất vải tốt màu đẹp giống hình mô tả sản phẩm. sẽ ủng hộ shop trong đơn hàng tiếp theo ^^,positive
"sản phẩm giá rẻ, chất lượng vải tốt. mua về tặng ai cũng thích. hàng được chuẩn bị đầy đủ, đóng gói cẩn thận. shiper giao hàng thân thiện",positive
"màu sắc:xanh aqua đẹp, màu chuẩn, vải thoáng khó, nhẹ có độ co giãn, giá cả rẻ, shiper thân thiện, nhiệt tình, shop tư vấn nhiệt tình, lần sau sẽ ủng hộ tiếp",positive
"màu sắc:ok đúng với mô tả:ok chất liệu:ok hàng hoá đúng với yêu câu, chất liệu tối bền. hình ảnh mang tính chất nhận xu. hàng dùng ok đến giờ không vấn đề gì",positive
"hàng đúng size , chất lượng đúng mô tả , giao hàng nhanh , màu sắc đẹp",positive
"giao hàng hàng nhanh, đóng gói cẩn thận, hình ảnh mang tính chất nhận xu",positive
"màu sắc:chuẩn với ảnh sản phẩm tốt, giá cả hợp lý với mọi người. chúc cty ra nhiều mẫu đẹp chất lượng đảm bảo nhé",positive
chất liệu:catton đúng với mô tả:đr vs hình ảnh màu sắc:đen vãi hơi mỏng nhưng so vs giá tiền thì mn nên mua,negative
"màu nâu ở ngoài nhạt hơn nha áo đẹp, đóng gói cẩn thận giao hàng nhanh hơi nhiều chỉ thừa nhưng với giá này thì lh đòi hỏi gì thêm",positive
chất liệu giống mô tả . áo đẹp . phom chuẩn . chọn theo hướng dãn của shop vừa đẹp luôn,positive
áo hơi rộng vải không dày lắm đâu nhưng với giá tiền này thì k đòi hỏi j thêm,negative
vải xấu mỏng không giốbg hình,negative
đóng gói hàng cho khách hàng cẩn thận không bị rách sản phẩm đẹp,positive
"-theo đánh giá thì chất liệu áo tốt, đường may ổn, phù hợp giá tiền. 83kg mặc xxl khá ôm (không thích hợp lắm cho bụng bia ), độ dài áo ok. có vẻ thấm hút mồ hôi hơi kém. -shop uy tính, có điều chuẩn bị đồ hơi lâu, bù lại giao nội thành hcm khá nhanh. -không có gì để phàn nàn ",positive
"chất liệu:đẹp màu sắc:đẹp đúng với mô tả:đúng giao hàng nhanh, mua dịp sale nên giá rẻ, chất liệu cho tới màu sắc rất đẹp",positive
"đóng hộp đẹp, có cả quà tặng sữa rửa mặt, vải thoáng mát, co giãn tốt",positive
"shop giao hàng nhanh. áo đẹp như hình, mình chọn size theo cân nặng thì fom hơi dài 1 chút. chất vải có vẻ sẽ hơi bí nhưng với giá tiền như vậy là rất ok rồi. tks shop!",neutral
"Giao hàng rất nhanh, áo xinh y như hình, chất vải rất mềm và mát.",positive
"shop gửi hàng cho mình hơi chậm, đóng gói cẩn thận. hàng đẹp giống với hình",positive
"lần đầu mua hàng, giao hàng nhanh như 1 cơn gió chất vải tốt, còn bền và phai màu hay không còn phải dùng mới đánh giá được nếu tốt sẽ tiếp tục ủng hộ colmate",positive
áo đẹp giá cả hợp lí giao hàng hơi lâu chất vải ok màu xanh đẹp  ,positive
"áo from k đẹp lắm, vải hơi mỏng nhưng shiper nhiệt tình lắm ạ",negative
"áo vải đẹp, shop phục vụ tốt và tư vấn nhiệt tình. sẽ ủng hộ shop những đơn hàng sau. cám ơn shop!",positive
"chất vải và đường may ổn, có vẻ hơi giày k bjt thấm mồ hôi tốt k. nhưng nhìn chung phù hợp với giá tiền, thái độ chăm sóc khách hàng tốt",positive
đúng với mô tả:khác ảnh chất liệu:k đẹp màu sắc:k đẹp màu sắc chất liệu không giống hình.,negative
"màu sắc:đúng chuẩn đúng với mô tả:rất ko chất liệu:nhẹ và mát mình nhận đc hàng và rất thích, màu áo chuẩn, vải nhẹ và thoáng mát, đóng gói wá đẹp, mình sẻ đặt mua thêm và mọi người cũng nên mua nhé, tặng shop 10 sao , tks.",positive
đúng với mô tả:hình in nổi chất liệu:hơi mỏng màu sắc:nâu chất liệu vải hơi mỏng hình in cũng đẹp mà giặt máy sẽ bị chóc ra nên giặt tay nha mọi người. ( lưu ý: tiền nào chả đó ),negative
"màu sắc:đúng logo hãng cũng bị bay màu,",negative
"áo đẹp, mát mẻ, mặc thoải mái lắm, bố mình rất ưng, chuẩn bị hàng nhanh. mua hàng của shop nhiều lần đều rất thích",positive
áo rất đẹp ạ chất liệu nhìn rất sịn sò đường may kĩ k có chủ thừa mỗi cái giao hàng hơi lâu chút,positive
"Chất liệu dày dặn, đường may kĩ lưỡng không có chỉ thừa, nma size L to hơn mình nghĩ",positive
áo y ảnh ạ. vải rất đẹp. a bố e mặc vừa in. sẽ ủng hộ shop lan sau ạ.,positive
"áo bình thường chả có gì đặc sắc màu sắc cũng không như mẫu, nói chung tiền nào của đấy nên thôi chấp nhận vậy ai mua hàng của shop này nên mua màu đen chứ mấy màu sáng mỏng lét",neutral
"hộp không móp gì luôn nè, ship xịn quá ta. áo này chống nhăn nên mình mua đó hi",positive
"chất liệu:không biết màu sắc:trắng đúng với mô tả:mùi sao sao í ko diễn tả đc,giao nhanh,áo mỏng",positive
màu sắc:trắng đúng với mô tả:cũng đúng chất liệu:? sản phẩm đẹp hơi mỏng nma cũng đc phù hợp giá tiền nên mua nha,positive
"áo đẹp, vải đẹp, đã mua nhiều lần, 2 cái này nữa là 10 cái rồi nha, nên mua nha mọi người",positive
"Đúng với mô tả:đúng Chất liệu:cotton Màu sắc:đen Giao hàng nhanh, đóng gói cẩn thận. Lúc đầu shop có giao nhầm nhưng cũng nhiệt tình hỗ trợ đổi hàng Vải khá dày dặn, mặc mát, co giãn, tuy nhiên giặt ra màu",positive
"chuẩn bị và giao hàng lâu nhưng áo đẹp, xứng đáng thời gian chờ đợi ",positive
sản phẩm tuyệt vời. đóng gói đẹp. chất lượng tốt. ko biết có nóng k,positive
màu sắc:trắng đúng với mô tả:không chất liệu:rất mỏng như dẻ lau ẹ=))) xấu vaiz ra lun tưởng mỏng nhưng in đẹp tí cũng đc mà hong nha in cũng thiếu với sai chữ nữa,negative
chất liệu:100% polyester màu sắc:xanh aqua đúng với mô tả:áo poko thể thao nam promax nói chung là ko thể chê vào đâu được. dịch vụ rất tốt. sản phẩm mặc thích lắm luôn. đóng gói thù khỏi phải bàn rất chắc chắn cẩn thận hết mức. mọi người nên mua nhé. sẽ ủng hộ hết mình,positive
Chất liệu:vải thoi Màu sắc:trangs Đúng với mô tả:hàng ok nhe Mình thấy vải hơi mỏng cho 1 cái áo màu trắng. Ống tay hơi dài quá so vs mình,negative
"đường may ẩu quá, không như mong đợi hic hic giá này cũng ko rẻ mà làm thất vọng quá. mặc thì cũng đc vải thun.",negative
"shop giao đúng yêu cầu, hàng chất lượng tốt, vải đẹp, dày, mát, lần đầu mua hàng của shop thấy rất hài lòng, sẽ tiếp tục ủng hộ shop lần sau, cho shop 5 sao",positive
"sản phẩm rất đúng như mô tả, ship nhanh hàng chất lượng, nhận xu.",positive
"chất vải mát oki nhưng hình in thì cũng gọi là bình thường thui chưa mặc lần nào mình đã thấy vài chỗ hơi bong tróc rùi ý hic , nhưng với giá này thì khá ok nha. clip mình quay siêu sát cận cảnh luôn đó , b nào mua tham khảo nha",neutral
"Màu sắc:màu nâu Chất liệu:đúng với mô tả Đúng với mô tả:giúm với mô tả Áo xinh, vải cũng ổn, mà hình như thứ 7 chủ nhật shop kh làm",positive
"màu sắc:trắng đúng với mô tả:đúng áo rất đẹp, chất liệu đúng, vải mỏng nhưng mát, sử dụng mới biết có thấm hít không, giao hàng đúng size đuang sản phẩm đóng gói đẹp.",positive
mặc dù có 2 lớp hộp nhưng mà hộp qà ở trong của mình bị móp huhu với đồ có vẻ hơi bụi á hình ảnh mang tính chất lấy xu,negative
áo phom khá là đẹp vải mỏng thoáng mát nói chung giá đó thì cũng rất ok,positive
Màu sắc:đen Đúng với mô tả:đúng với hình ảnh mô tả chất vải okela áo đẹp giao hàng nhanh,positive
chất liệu ok. logo in nổi. nhưng hơi bị ngắn. hàng gửi lúc đầu bị lỗi nhưng shop xử lý đổi trả nhanh gọn. 5sao cho shop,positive
chất liệu:chịu đúng với mô tả:không màu sắc:trắng áo khá mỏng chữ guci thì lại rất nhỏ nhìn ảnh đẹp mà sao ngoài đời khác quá  nên sản phẩm bình thường thôi được mỗi form đẹp ,neutral
lần đầu tiên mua hàng của shop mà ưng ý hơn mong đợi. hàng giao đúng như yêu cầu. áo chất đẹp sịn sò. sẽ ủng hộ shop nhiều nhiều,positive
chất lượng sản phẩm tuyệt vời giao hàng nhanh sẽ ủng hộ thêm dài dài.,positive
"nhận hàng ngoài sức mong đợi lun.áo giá rẻ mà đẹp giữ lun,giao hàng nhanh,ưng dì đâu á.",positive
"màu sắc:xanh và trắng đúng với mô tả:đúng chất liệu:cotton giao hàng nhanh, vải đẹp, dày dặn đúng màu sắc, mà mình đặt size hơi nhỏ nên nhìn có vẻ chật. nặng 53kg cao 1m67 mà size m vẫn chật vai và nách.",positive
"lần trước mua cái đen bị lỗi ở cổ, với do mình có máy may nên dằn lại cũng dc , mình không đổi trả chi cho mắc công , xong lần này mình mua cái kem size L thì shop giao kem size M cho mình , thấy đánh giá rv trên ytb oki nên mua (lần đầu mình nghĩ do xui nên mua lần 2 dùm mẹ để tặng dì tại mẹ mình coi Hà Linh rv thấy ôki) shop làm ơn làm phước kt kĩ hàng dùm (mà mình cũng ko rảnh đi đổi trả nên cũng giữ cho ngkhac bận) nên mong shop kt hàng kĩ dùm !!",negative
đúng với mô tả:kh màu sắc:sai màu chất liệu:thun về sp thì cũng dc giá nào thì của đấy th mình cx chẳng nói mà shop giao nhầm màu^^ với mình có ib shop mà shop chẳng nói gì về sai sót của mình cả=),negative
"mua với giá sale 92k không nghĩ là đẹp hết sẩy á mn ơi đồng nghiệp mình kêu chắc vải này 3 4 trăm vải đẹp lắm, form đẹp, màu đẹp, ny mình ko thích mặc màu hồng nhưng mua về cho áo này ưng lắm nên mua sẽ mua thêm các màu nữa",positive
"Chất liệu:nice Màu sắc:be shipper zui tánh thân thiện, shop cuti, màu áo hơi nhạt so vs ảnh xíu nhma vẫn đẹp nha, áo rộng lắm á mặc thoải mái",positive
"đúng với mô tả:đúng chất liệu:vải cotton màu sắc:xám đậm, xanh than.. áo của shop siu đẹp, vải mát và dày dặn nữa. mình săn sale nên mỗi áo có chưa đến 90k, mình nghĩ giá này thì không kì vọng nhiều, nhưng lúc lấy áo thì siu ưng lun ý. giao hàng cũng nhanh nữa. thật sự thì mn nên mua nha, mua để tặng bố thì chất lượng luôn. lần sau mình sẽ mua ủng hộ shop nữa.",positive
